"quant_file","quant_basename","geo_accession","sample_label","tissue","group"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140509_RECON6_synovium_quant.sf.txt.gz","GSM7140509_RECON6_synovium_quant.sf.txt.gz","GSM7140509","RECON6","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140510_RECON7_synovium_quant.sf.txt.gz","GSM7140510_RECON7_synovium_quant.sf.txt.gz","GSM7140510","RECON7","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140511_CON7_synovium_quant.sf.txt.gz","GSM7140511_CON7_synovium_quant.sf.txt.gz","GSM7140511","CON7","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140512_RECON8_synovium_quant.sf.txt.gz","GSM7140512_RECON8_synovium_quant.sf.txt.gz","GSM7140512","RECON8","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140513_RECON9_synovium_quant.sf.txt.gz","GSM7140513_RECON9_synovium_quant.sf.txt.gz","GSM7140513","RECON9","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140514_RECON10_synovium_quant.sf.txt.gz","GSM7140514_RECON10_synovium_quant.sf.txt.gz","GSM7140514","RECON10","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140515_RECON11_synovium_quant.sf.txt.gz","GSM7140515_RECON11_synovium_quant.sf.txt.gz","GSM7140515","RECON11","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140516_CON8_synovium_quant.sf.txt.gz","GSM7140516_CON8_synovium_quant.sf.txt.gz","GSM7140516","CON8","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140517_RECON12_synovium_quant.sf.txt.gz","GSM7140517_RECON12_synovium_quant.sf.txt.gz","GSM7140517","RECON12","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140518_CON9_synovium_quant.sf.txt.gz","GSM7140518_CON9_synovium_quant.sf.txt.gz","GSM7140518","CON9","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","GSM7140519","REPAIR1","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","GSM7140520","REPAIR2","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140521_REPAIR3_synovium_quant.sf.txt.gz","GSM7140521_REPAIR3_synovium_quant.sf.txt.gz","GSM7140521","REPAIR3","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140522_REPAIR4_synovium_quant.sf.txt.gz","GSM7140522_REPAIR4_synovium_quant.sf.txt.gz","GSM7140522","REPAIR4","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140523_CON10_synovium_quant.sf.txt.gz","GSM7140523_CON10_synovium_quant.sf.txt.gz","GSM7140523","CON10","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140524_REPAIR5_synovium_quant.sf.txt.gz","GSM7140524_REPAIR5_synovium_quant.sf.txt.gz","GSM7140524","REPAIR5","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140525_REPAIR6_synovium_quant.sf.txt.gz","GSM7140525_REPAIR6_synovium_quant.sf.txt.gz","GSM7140525","REPAIR6","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140526_REPAIR7_synovium_quant.sf.txt.gz","GSM7140526_REPAIR7_synovium_quant.sf.txt.gz","GSM7140526","REPAIR7","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140527_CON11_synovium_quant.sf.txt.gz","GSM7140527_CON11_synovium_quant.sf.txt.gz","GSM7140527","CON11","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140528_REPAIR8_synovium_quant.sf.txt.gz","GSM7140528_REPAIR8_synovium_quant.sf.txt.gz","GSM7140528","REPAIR8","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140529_REPAIR9_synovium_quant.sf.txt.gz","GSM7140529_REPAIR9_synovium_quant.sf.txt.gz","GSM7140529","REPAIR9","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140530_REPAIR10_synovium_quant.sf.txt.gz","GSM7140530_REPAIR10_synovium_quant.sf.txt.gz","GSM7140530","REPAIR10","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140531_REPAIR11_synovium_quant.sf.txt.gz","GSM7140531_REPAIR11_synovium_quant.sf.txt.gz","GSM7140531","REPAIR11","synovium","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140532_CON12_synovium_quant.sf.txt.gz","GSM7140532_CON12_synovium_quant.sf.txt.gz","GSM7140532","CON12","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140533_REPAIR12_synovium_quant.sf.txt.gz","GSM7140533_REPAIR12_synovium_quant.sf.txt.gz","GSM7140533","REPAIR12","synovium","Repair_52W"
